height,timestamp,nonce,miner,k_multiplier,approx,diff,precision_pct,resonance_strength,is_phi_resonant,birthday_modular_diff,birthday_substring_hits,birthday_resonant,birthday_echo_type
953824,1781550321,1741942157,Unknown,1277083,1741942148.277357,8.722643,99.999999,0.987210,True,1911501,,False,none
953823,1781550547,3954700399,Unknown,2899339,3954700521.613962,122.613962,99.999997,0.820214,True,8559447,,False,none
953822,1781548983,640668707,Unknown,469698,640668416.353188,290.646812,99.999955,0.573832,True,11842789,,False,none
953821,1781548866,3339979064,Unknown,2448664,3339979491.207248,427.207248,99.999987,0.373597,True,15277632,,False,none
953820,1781548557,570697283,Unknown,418400,570697906.744703,623.744703,99.999891,0.085419,False,11401715,,False,none
953819,1781548312,199684276,Unknown,146396,199684251.328388,24.671612,99.999988,0.963825,True,13252420,,False,none
953818,1781548156,4060398587,Unknown,2976830,4060398302.425515,284.574485,99.999993,0.582736,True,10030269,,False,none
953817,1781547031,1768845217,Unknown,1296807,1768845698.737760,481.737760,99.999973,0.293640,True,2257415,,False,none
953816,1781546830,2374011125,Unknown,1740476,2374010540.008113,584.991887,99.999975,0.142241,True,12540949,,False,none
953815,1781545182,1792371323,Unknown,1314055,1792371983.382914,660.382914,99.999963,0.031697,True,9803285,,False,none
953814,1781544726,1789579836,Unknown,1312008,1789579873.882182,37.882182,99.999998,0.944454,True,12594772,,False,none
953813,1781544327,1702621802,Unknown,1248256,1702622099.143204,297.143204,99.999983,0.564306,True,6336878,,False,none
953812,1781543212,3953827448,Unknown,2898699,3953827561.144754,113.144754,99.999997,0.834099,True,7686496,,False,none
953811,1781542833,1218914975,Unknown,893632,1218914703.155074,271.844926,99.999978,0.601401,True,7107911,,False,none
953810,1781542526,3088017744,Unknown,2263941,3088017183.779901,560.220099,99.999982,0.178563,True,11892120,,False,none
953809,1781542486,271338121,Unknown,198928,271337937.841564,183.158436,99.999932,0.731439,True,8309663,,False,none
953808,1781541915,2600372094,Unknown,1906430,2600371917.675203,176.324797,99.999993,0.741459,True,9673890,,False,none
953807,1781541558,3391440159,Unknown,2486392,3391440510.867057,351.867057,99.999990,0.484066,True,4594775,,False,none
953806,1781541493,2969555536,Unknown,2177092,2969555084.107648,451.892352,99.999985,0.337402,True,13354160,,False,none
953805,1781541366,3387093223,Unknown,2483205,3387093440.530548,217.530548,99.999994,0.681040,True,247839,,False,none
953804,1781541160,1089597348,Unknown,798825,1089597885.648513,537.648513,99.999951,0.211659,True,2078188,,False,none
953803,1781538060,3504663037,Unknown,2569400,3504663483.723330,446.723330,99.999987,0.344981,True,6470251,,False,none
953802,1781537473,272528966,Unknown,199801,272528710.481593,255.518407,99.999906,0.625340,True,7118818,,False,none
953801,1781537009,1089697692,Unknown,798898,1089697457.702032,234.297968,99.999978,0.656455,True,2178532,,False,none
953800,1781536840,2549551576,Unknown,1869172,2549551978.359969,402.359969,99.999984,0.410030,True,1649544,,False,none
953799,1781536131,2985035671,Unknown,2188441,2985035128.428025,542.571975,99.999982,0.204440,True,2125975,,False,none
953798,1781532790,1182130904,Unknown,866664,1182130331.383823,572.616177,99.999952,0.160387,True,1395816,,False,none
953797,1781531231,2843995491,Unknown,2085040,2843996088.620881,597.620881,99.999979,0.123724,True,14626301,,False,none
953796,1781531087,3578674122,Unknown,2623660,3578674163.503367,41.503367,99.999999,0.939145,True,5396882,,False,none
953795,1781531067,83883004,Unknown,61498,83883317.086486,313.086486,99.999627,0.540929,False,9332924,,False,none
953794,1781531015,1481629775,Unknown,1086238,1481629428.361743,346.638257,99.999977,0.491733,True,9825073,,False,none
953793,1781531012,4066557732,Unknown,2981346,4066558129.736364,397.736364,99.999990,0.416809,True,3871124,,False,none
953792,1781530911,1401305701,Unknown,1027350,1401306153.188745,452.188745,99.999968,0.336967,True,3066781,,False,none
953791,1781530830,3945738342,Unknown,2892768,3945737672.796516,669.203484,99.999983,0.018764,True,402610,,False,none
953790,1781530600,3710886292,Unknown,2720590,3710886754.566379,462.566379,99.999988,0.321751,True,13321148,,False,none
953789,1781530563,3922693335,Unknown,2875873,3922692880.410159,454.589841,99.999988,0.333446,True,7624359,,False,none
953788,1781529745,4289381269,Unknown,3144706,4289381289.501696,20.501696,100.000000,0.969939,True,1448581,,False,none
953787,1781529242,570755541,Unknown,418442,570755194.775495,346.224505,99.999939,0.492340,True,11459973,,False,none
953786,1781528172,4068482678,Unknown,2982757,4068482734.770821,56.770821,99.999999,0.916758,True,1946178,,False,none
953785,1781528046,3422214577,Unknown,2508954,3422215095.408104,518.408104,99.999985,0.239871,True,4297217,,False,none
953784,1781527469,4032164293,Unknown,2956131,4032164851.250303,558.250303,99.999986,0.181452,True,7192587,,False,none
953783,1781526283,972087139,Unknown,712673,972086494.487256,644.512744,99.999934,0.054967,True,8855883,,False,none
953782,1781525639,599811875,Unknown,439745,599812502.393522,627.393522,99.999895,0.080069,False,9444331,,False,none
953781,1781525159,3105401792,Unknown,2276686,3105401373.123738,418.876262,99.999987,0.385812,True,1795808,,False,none
953780,1781524952,3776181206,Unknown,2768460,3776181469.661668,263.661668,99.999993,0.613400,True,14599866,,False,none
953779,1781524805,2676335073,Unknown,1962121,2676334482.504360,590.495640,99.999978,0.134171,True,4145137,,False,none
953778,1781524655,1711786328,Unknown,1254975,1711786820.069155,492.069155,99.999971,0.278491,True,2827648,,False,none
953777,1781524371,1115502250,Unknown,817816,1115501623.571526,626.428474,99.999944,0.081484,True,3088886,,False,none
953776,1781524329,4085333089,Unknown,2995111,4085333599.828001,510.828001,99.999987,0.250986,True,14904233,,False,none
953775,1781523855,3377605994,Unknown,2476249,3377605451.430844,542.569156,99.999984,0.204444,True,9239390,,False,none
953774,1781521403,3248306690,Unknown,2381455,3248306365.933814,324.066186,99.999990,0.524830,True,14250790,,False,none
953773,1781520045,568865722,Unknown,417057,568866053.760100,331.760100,99.999942,0.513549,True,9570154,,False,none
953772,1781519609,3169196585,Unknown,2323457,3169197051.413309,466.413309,99.999985,0.316110,True,144967,,False,none
953771,1781518882,1568844621,Unknown,1150179,1568844999.239284,378.239284,99.999976,0.445397,True,15245821,,False,none
953769,1781516278,3594782580,Unknown,2635470,3594783012.161720,432.161720,99.999988,0.366332,True,9566636,,False,none
953768,1781515806,4288493004,Unknown,3144055,4288493325.024423,321.024423,99.999993,0.529290,True,560316,,False,none
953767,1781515713,1634354288,Unknown,1198206,1634353862.449675,425.550325,99.999974,0.376026,True,12460440,,False,none
953766,1781515196,1240411283,Unknown,909392,1240411354.709320,71.709320,99.999994,0.894854,True,2467757,,False,none
953765,1781513724,1313585525,Unknown,963039,1313585902.039944,377.039944,99.999971,0.447156,True,8562533,,False,none
953764,1781513499,482130667,Unknown,353468,482130611.140623,55.859377,99.999988,0.918095,True,15020949,,False,none
953763,1781513082,1244071475,Unknown,912075,1244070968.676327,506.323673,99.999959,0.257590,True,1192435,,False,none
953762,1781511683,1866742677,Unknown,1368579,1866742759.356500,82.356500,99.999996,0.879243,True,2424117,,False,none
953761,1781511380,3894218852,Unknown,2854998,3894219365.105915,513.105915,99.999987,0.247646,True,10221852,,False,none
953760,1781510935,1271312552,Unknown,932047,1271312791.318548,239.318548,99.999981,0.649093,True,2638464,,False,none
953759,1781510682,1182779797,Unknown,867140,1182779595.732797,201.267203,99.999983,0.704887,True,2044709,,False,none
953758,1781509705,691471742,Unknown,506944,691471987.659625,245.659625,99.999964,0.639795,True,7888270,,False,none
953757,1781508859,2730538559,Unknown,2001860,2730538507.638509,51.361491,99.999998,0.924690,True,3795329,,False,none
953756,1781506648,2006376724,Unknown,1470950,2006376878.408512,154.408512,99.999992,0.773595,True,13301716,,False,none
953755,1781506111,2093820022,Unknown,1535058,2093820237.408487,215.408487,99.999990,0.684152,True,11997630,,False,none
953754,1781505919,3434195216,Unknown,2517737,3434195113.847250,102.152750,99.999997,0.850216,True,14794120,,False,none
953753,1781505899,1575985588,Unknown,1155414,1575985543.077258,44.922742,99.999997,0.934131,True,8685188,,False,none
953752,1781505332,327059227,Unknown,239779,327058731.790961,495.209039,99.999849,0.273887,False,14732509,,False,none
953751,1781504333,1580014226,Unknown,1158368,1580014801.242946,575.242946,99.999964,0.156536,True,4656550,,False,none
953750,1781503943,2372256312,Unknown,1739190,2372256435.065298,123.065298,99.999995,0.819552,True,10786136,,False,none
953748,1781503247,778929318,Unknown,571062,778928986.666931,331.333069,99.999957,0.514175,True,2129918,,False,none
953747,1781501884,2873997701,Unknown,2107035,2873997284.746239,416.253761,99.999986,0.389658,True,15375909,,False,none
953746,1781501134,2891555409,Unknown,2119908,2891556066.183917,657.183917,99.999977,0.036388,True,1861641,,False,none
953745,1781500488,683263475,Unknown,500926,683263431.247604,43.752396,99.999994,0.935847,True,319997,,False,none
953744,1781499324,1379866275,Unknown,1011632,1379866789.665291,514.665291,99.999963,0.245359,True,12699331,,False,none
953743,1781499121,520596254,Unknown,381669,520596795.815832,541.815832,99.999896,0.205549,False,7627338,,False,none
953742,1781498876,2186414256,Unknown,1602942,2186414063.176789,192.823211,99.999991,0.717268,True,11375936,,False,none
953741,1781498689,1153513312,Unknown,845684,1153513596.002600,284.002600,99.999975,0.583574,True,3850200,,False,none
953740,1781497881,726482239,Unknown,532611,726481794.477063,444.522937,99.999939,0.348207,True,11826791,,False,none
953739,1781497698,3999521198,Unknown,2932199,3999521585.704858,387.704858,99.999990,0.431518,True,8763706,,False,none
953738,1781496079,752702380,Unknown,551834,752701980.570164,399.429836,99.999947,0.414326,True,6974956,,False,none
953737,1781493858,2806831263,Unknown,2057793,2806831160.645085,102.354915,99.999996,0.849920,True,10353423,,False,none
953736,1781493679,2101449668,Unknown,1540651,2101449093.508925,574.491075,99.999973,0.157638,True,11444700,,False,none
953735,1781493568,2413010762,Unknown,1769069,2413011412.970712,650.970712,99.999973,0.045498,True,10603366,,False,none
953734,1781493556,3107736607,Unknown,2278398,3107736542.378869,64.621131,99.999998,0.905248,True,539007,substring=3107,True,weak
953733,1781493159,1564363100,Unknown,1146893,1564362892.830194,207.169806,99.999987,0.696232,True,10764300,,False,none
953732,1781492891,3244748858,Unknown,2378847,3244749052.021791,194.021791,99.999994,0.715511,True,13263354,,False,none
953731,1781492840,2573232716,Unknown,1886533,2573232395.087967,320.912033,99.999988,0.529455,True,5741292,,False,none
953730,1781491648,777651138,Unknown,570125,777650917.979981,220.020019,99.999972,0.677390,True,851738,,False,none
953729,1781491432,165784482,Unknown,121543,165784741.107723,259.107723,99.999844,0.620077,False,10424602,,False,none
953728,1781491372,3668515110,Unknown,2689526,3668515435.792197,325.792197,99.999991,0.522299,True,2021942,,False,none
953727,1781490781,3004425835,Unknown,2202657,3004425762.850307,72.149693,99.999998,0.894209,True,9555837,,False,none
953726,1781489991,2664888045,Unknown,1953729,2664887788.351871,256.648129,99.999990,0.623683,True,7301891,,False,none
953725,1781488411,2309167673,Unknown,1692937,2309167309.155492,363.844508,99.999984,0.466504,True,9841449,,False,none
